incident_name,incident_date_created,incident_county,incident_type,incident_dateonly_created
Taglio Fire,1969-12-31T16:00:00Z,Merced,,12/31/1969
Bridge Fire,1969-12-31T16:00:00Z,Marin,,12/31/1969
Pala Fire,2009-05-24T14:56:00Z,San Diego,Wildfire,5/24/2009
River Fire,2013-02-24T08:16:00Z,Inyo,,2/24/2013
Fawnskin Fire,2013-04-20T17:30:00Z,San Bernardino,,4/20/2013
Gold Fire,2013-04-30T12:59:00Z,Madera,,4/30/2013
Silverado Fire,2013-04-30T23:44:00Z,Napa,,4/30/2013
Panther Fire,2013-05-01T09:12:00Z,Tehama,,5/1/2013
Yellow Fire,2013-05-01T02:01:00Z,Sonoma,,5/1/2013
Summit Fire,2013-05-01T12:38:00Z,Riverside,,5/1/2013
306 Fire,2013-05-01T19:00:00Z,Glenn,,5/1/2013
Tres Pinos Fire,2013-05-03T11:42:00Z,San Benito,,5/3/2013
Gorgonio Fire,2013-05-04T11:43:00Z,Riverside,,5/4/2013
Lytle Fire,2013-05-13T13:30:00Z,San Bernardino,,5/13/2013
Grand Fire,2013-05-15T12:50:00Z,"Kern, Ventura",,5/15/2013
54 Fire,2013-05-16T13:48:00Z,Riverside,,5/16/2013
Lake Fire,2013-05-17T13:23:00Z,Los Angeles,,5/17/2013
Lilly 2 Fire,2013-05-19T15:07:00Z,Madera,,5/19/2013
Cottontail Fire,2013-05-20T15:45:00Z,San Luis Obispo,,5/20/2013
Cherry Fire,2013-05-20T13:47:00Z,Riverside,,5/20/2013
Water Fire,2013-05-21T14:16:00Z,Riverside,,5/21/2013
Border Fire,2013-05-22T16:14:00Z,San Diego,,5/22/2013
San Felipe Fire,2013-05-23T12:20:00Z,San Diego,,5/23/2013
Homestead Fire,2013-05-25T17:35:00Z,San Luis Obispo,,5/25/2013
Smiley Fire,2013-05-25T14:59:00Z,Riverside,,5/25/2013
General Fire,2013-05-26T12:04:00Z,San Diego,,5/26/2013
White Fire,2013-05-27T14:45:00Z,Santa Barbara,,5/27/2013
Magic Fire,2013-05-28T11:30:00Z,Los Angeles,,5/28/2013
Olive Fire,2013-05-28T15:24:00Z,Santa Barbara,,5/28/2013
Shelton Fire,2013-05-30T11:20:00Z,San Joaquin,,5/30/2013
Powerhouse Fire,2013-05-30T15:28:00Z,Los Angeles,,5/30/2013
Branch Fire,2013-06-01T17:27:00Z,San Luis Obispo,,6/1/2013
Murphy Fire,2013-06-02T13:30:00Z,Tuolumne,,6/2/2013
Lone Fire,2013-06-03T13:49:00Z,Butte,,6/3/2013
152 Fire,2013-06-04T15:42:00Z,Merced,,6/4/2013
Lake Fire,2013-06-05T16:05:00Z,Lake,,6/5/2013
Vasco Fire,2013-06-08T10:16:00Z,Alameda,,6/8/2013
Viper Fire,2013-06-08T15:37:00Z,Riverside,,6/8/2013
Hathaway Fire,2013-06-09T12:30:00Z,Riverside,,6/9/2013
Sonoma-Lake-Napa Unit Lightning Fires,2013-06-10T00:46:00Z,"Sonoma, Solano, Lake, Colusa",,6/10/2013
Northern California Lightning Activity,2013-06-10T00:46:00Z,,,6/10/2013
Roadrunner Fire,2013-06-12T16:43:00Z,Amador,,6/12/2013
Revis Fire,2013-06-12T16:40:00Z,Madera,,6/12/2013
Clinton Fire,2013-06-13T11:54:00Z,Fresno,,6/13/2013
PFE Fire,2013-06-13T11:28:00Z,Placer,,6/13/2013
Michelle Fire,2013-06-13T15:54:00Z,Fresno,,6/13/2013
Palmyrita Fire,2013-06-14T13:47:00Z,Riverside,,6/14/2013
Carstens Fire,2013-06-16T14:12:00Z,Mariposa,,6/16/2013
Rolling Fire,2013-06-16T18:17:00Z,Madera,,6/16/2013
Sierra Fire,2013-06-17T14:41:00Z,Fresno,,6/17/2013
California Fire,2013-06-18T15:18:00Z,Solano,,6/18/2013
Mount Fire,2013-06-20T14:29:00Z,Lake,,6/20/2013
